GeoFips,GeoName,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4
29000,Missouri,75703.3,76336.3,77226.3,78836.0,79700.4,81419.3,82799.8,84309.1,86707.3,87410.6,88391.3,89257.8,90012.0,91644.2,92712.3,93217.7,94099.2,95235.3,96627.0,98338.6,100201.1,101634.9,102671.6,103804.6,104627.6,106086.0,107116.3,109063.7,110358.8,112545.0,114021.6,116101.1,117524.0,118979.6,120144.6,120951.0,123525.5,125795.2,127072.3,129183.6,131824.9,132806.3,134737.1,137103.0,138270.3,140049.1,141899.1,143140.2,144016.2,144882.0,146299.0,149492.6,152691.4,155582.1,157991.2,158543.8,160990.0,161845.0,161247.9,162041.9,163730.3,164511.4,165625.5,167692.0,169259.5,170590.0,172373.1,174150.2,177259.0,179028.0,181384.8,184143.3,182775.4,185808.5,187607.3,190892.4,194706.2,197994.3,198492.7,200143.2,203501.0,207044.0,208144.0,210956.3,214681.0,223461.2,218764.5,222781.2,216155.7,216954.7,215948.6,216638.8,218649.3,221442.9,222982.3,223966.3
30000,Montana,10253.3,10319.4,10318.9,10528.7,10377.2,10559.6,10785.0,10997.2,11543.2,11735.1,11793.6,11982.5,12151.8,12311.7,12487.5,12565.8,12916.9,13042.3,13293.2,13614.1,13752.4,13980.0,14130.7,14173.9,14954.2,15177.6,15015.5,15468.9,15206.9,15468.1,15690.0,15932.5,16125.1,16281.1,16502.7,16691.2,16808.2,17054.9,17307.8,17523.8,17576.9,17718.2,18025.9,18319.9,18820.8,18978.1,19247.2,19456.8,19376.9,19372.2,19314.3,19924.2,20173.9,20626.4,20857.1,21424.8,21501.4,21695.2,21721.6,21822.7,21900.2,22171.7,22491.7,22837.5,23404.2,23838.2,24182.8,24635.5,25548.8,25976.6,26094.7,26668.6,27357.7,27780.7,28203.1,28866.7,29706.3,30230.7,30599.8,30914.0,31995.4,32556.9,32783.9,33251.1,34157.4,35308.1,34900.4,34556.3,34085.1,33882.3,33803.4,33935.7,34900.2,35498.6,35878.0,36406.7
31000,Nebraska,23512.3,23802.0,24081.4,24522.9,25122.4,25451.6,26180.8,26078.9,26821.5,27164.0,27346.2,27776.8,28644.0,29173.7,29412.7,29721.3,29715.1,30199.3,30520.8,30941.0,31502.4,32159.0,32386.2,32717.3,32606.4,33284.7,33281.9,33862.3,34796.3,35089.7,35569.3,36103.2,36598.9,36967.4,37589.9,38376.9,40115.7,41012.4,40446.7,41252.4,41465.1,41448.1,42152.4,42767.3,43540.9,44513.2,45224.7,45709.1,45660.2,46321.1,46925.1,48391.3,48528.2,49307.2,50059.1,50386.6,51489.6,52067.3,51849.4,52240.8,51928.4,52378.0,53093.3,53817.4,55320.8,55912.5,56366.4,56808.9,57763.7,58311.0,58669.1,59645.0,59463.1,60365.8,60888.5,61675.0,62375.4,63555.6,63154.5,64183.2,66531.7,67697.8,68397.3,69767.8,71424.6,73923.1,72811.5,71350.1,71516.9,71085.4,71103.7,72132.7,73261.5,75040.5,75874.7,76599.6
32000,Nevada,16727.3,17098.7,17597.5,18204.5,18698.4,19566.8,20236.8,20803.1,21429.5,21993.1,22537.6,23355.5,24239.0,24810.3,25441.7,25665.9,26697.0,27304.1,27816.5,28356.7,29501.4,30181.8,30770.1,31386.1,32436.1,32582.6,33048.2,33664.8,35193.1,36089.4,36749.4,37737.3,38862.2,39534.9,40581.7,41323.1,42680.6,43878.3,44943.8,45844.2,47198.1,47987.7,48736.0,49878.9,52265.4,53565.8,54944.7,56093.1,57511.4,58024.6,58732.6,60225.9,62324.5,64044.5,65066.5,65814.9,67324.0,68541.0,68521.3,67720.7,68651.9,69561.9,70218.2,71378.9,72027.7,73216.3,75334.2,77495.4,79165.1,81397.7,83387.5,86148.5,89702.7,92506.9,92629.1,93937.9,98058.0,99334.1,99446.6,101101.7,102816.6,103202.2,103540.7,105264.4,103076.3,104355.1,102301.7,100410.3,97007.5,96944.4,96529.5,97449.6,98354.5,100546.5,101845.2,102255.4
33000,New Hampshire,18403.8,18914.1,19513.1,20308.1,20628.3,21070.2,21467.2,22064.1,22591.2,22803.1,22900.1,23006.8,22855.4,23040.7,23148.0,22975.9,23397.2,23716.8,23873.9,24284.8,24613.0,24892.9,24945.4,25356.3,25287.4,25578.9,26034.1,26160.3,26807.2,27330.1,27590.2,28285.0,28476.6,29228.8,29348.3,29650.1,30192.4,30691.6,31086.7,31599.6,32341.4,32963.4,33573.1,34266.7,35388.3,36242.2,37084.0,37675.4,37958.1,38421.4,39156.9,40184.4,42773.0,43209.0,44087.8,45114.7,46266.1,46157.9,46037.3,46258.4,46491.3,47070.2,46995.8,47331.9,47074.6,47409.5,48026.0,48821.8,49451.5,50350.2,51269.7,51860.6,51337.2,52243.5,52827.5,53449.1,55021.7,55546.8,56068.0,57703.0,57718.4,58703.3,58251.8,58548.6,59473.8,60811.2,60125.0,60205.1,58145.7,59125.0,59875.2,60380.2,60406.4,62078.3,62474.3,62564.6
34000,New Jersey,149958.3,152265.6,155653.4,160964.8,166272.6,169166.3,172011.2,174473.5,180147.3,182076.7,183858.1,185454.4,188656.4,191807.4,194112.1,194107.5,192973.0,195199.0,197353.8,199152.9,206414.1,208988.4,211419.9,214771.8,213648.5,216613.5,218429.3,220925.0,219793.9,224025.0,226511.2,229937.5,235045.7,237912.8,240339.1,242310.0,247325.6,251844.5,254045.3,257307.4,263272.5,265814.4,270242.5,275844.2,280087.9,285137.6,289732.2,291363.2,295533.0,296722.2,300742.0,305898.3,319089.8,327424.5,332129.5,339723.3,339487.6,342196.9,340366.2,343185.0,343950.7,345976.9,346064.5,347962.7,347511.0,352306.0,356362.0,360211.8,361160.5,366637.7,372963.3,378322.1,374366.7,379511.4,385297.5,391821.4,401979.3,409519.2,411257.2,418303.8,430697.7,435023.2,435160.6,439313.5,446422.7,452659.9,450344.2,448754.9,431696.8,436326.6,436648.0,440414.4,444217.1,448603.8,450512.8,452390.7
35000,New Mexico,18815.8,19044.5,19339.8,19742.9,19951.7,20274.2,20480.9,20813.4,21415.6,21759.0,21904.8,22230.0,22762.6,23054.4,23518.1,23833.8,24388.1,24777.6,25040.6,25607.9,26117.3,26770.5,27080.6,27144.6,28305.5,28564.9,28800.1,29502.8,29889.1,30325.0,30996.5,31702.2,32411.4,32771.0,33285.8,33599.3,34072.1,34602.6,34837.8,35146.5,35950.3,36149.3,36569.0,36929.3,37736.4,38024.1,38342.1,38829.9,38418.5,38683.1,38910.2,39648.4,40693.8,41715.0,42247.8,43032.5,44153.9,44858.1,45239.1,45584.3,45918.9,46662.4,47078.9,47626.7,47978.0,48701.9,49329.7,50069.4,51035.5,51529.8,52185.6,53647.7,54003.4,55455.5,56114.8,56589.5,58821.3,59524.3,59960.6,60548.8,62153.4,62864.9,63616.5,64339.7,65517.7,68923.1,67586.9,67821.8,66165.8,66809.0,67198.0,67874.4,68026.4,69202.4,70039.1,70731.4
36000,New York,330720.6,335800.2,341195.6,349675.9,366866.1,367310.8,373610.1,385909.0,391154.9,401708.3,409106.4,412150.7,426021.2,432100.5,436745.6,434547.4,427117.2,433288.5,435243.1,436702.5,446602.1,451480.8,459129.5,471071.3,456645.5,467885.6,473417.3,480768.1,470804.8,484053.9,485277.7,496927.0,503067.2,507392.7,513927.5,516859.4,527120.6,535515.1,538261.7,546871.8,554409.0,560185.4,570854.6,583016.8,586219.3,600696.4,605059.6,608373.6,629291.6,628384.7,639973.7,643321.0,665377.0,676790.3,687173.1,703516.7,713520.7,706653.2,718245.2,699251.3,699534.5,710217.7,709325.7,711166.6,701640.3,714468.0,722234.4,731878.5,728345.7,741846.6,756689.7,770995.3,759184.4,769566.5,781692.2,800169.8,815868.9,831234.8,837998.0,858988.9,899532.5,892803.0,898971.8,907132.2,922840.8,928947.7,921698.0,908339.6,889216.8,910319.7,907910.0,917306.5,929774.8,949792.4,946421.2,947582.7
37000,North Carolina,88665.6,90326.6,92351.8,94970.5,96736.4,99322.8,101992.1,103996.9,106771.2,109132.8,110050.4,112411.6,114773.1,116509.8,117567.2,117130.8,117995.5,120623.4,123226.7,126028.3,128755.4,131905.1,134073.7,135579.3,137817.4,140450.6,141918.9,145121.9,146581.4,149226.1,151253.8,154616.8,157692.3,159994.5,162094.4,165332.9,167175.9,172102.7,173795.2,176989.3,181402.6,182816.1,186102.2,190516.6,193071.6,196309.6,200081.4,203465.3,204741.9,205886.5,209079.4,212064.4,215747.4,220465.6,223899.5,225952.5,227297.5,229261.8,227230.4,228573.8,229097.4,231995.3,232713.5,233917.4,236878.4,238807.0,243157.8,248377.2,253646.8,258989.8,264191.0,269586.1,275006.9,278290.9,281901.9,286367.6,299525.3,302808.3,306101.5,311055.5,325295.0,327278.9,327711.4,331260.6,346346.9,356684.3,351254.9,352264.0,331760.2,339425.8,341956.6,344623.2,339417.9,343602.9,343654.3,345742.2
38000,North Dakota,8984.9,9100.7,9140.1,9197.8,8551.1,8229.1,8650.7,8412.4,9359.2,9433.1,9485.3,9613.6,10112.0,10221.5,10331.9,10359.6,10281.9,10338.2,10442.7,10544.7,11165.2,11318.7,11500.8,11555.2,11411.7,11499.4,11572.9,11661.6,12472.9,12443.3,12499.7,12711.1,12325.6,12533.5,12595.0,12755.1,13673.7,14300.6,14078.6,14097.6,13461.2,13614.9,13881.6,14122.5,14817.4,14976.7,15155.2,15365.5,14919.4,15064.2,15271.2,15776.7,16217.2,16461.2,16819.2,16866.7,16822.5,16989.4,17027.8,16883.3,17104.9,17147.3,17426.9,17745.4,18422.8,18772.4,19168.7,19434.0,19046.3,19308.6,19243.9,19724.8,20023.8,20461.9,20654.2,20865.6,21131.2,21481.5,21507.2,21914.3,23233.8,23508.4,23838.1,24735.0,26564.9,27398.8,27116.5,26690.2,26387.9,26514.6,26778.5,27207.4,28559.3,29398.2,30077.5,31000.2
39000,Ohio,162768.3,163362.0,166257.7,169547.6,172149.8,175928.2,180493.0,183976.1,189398.2,189877.4,192182.8,194690.2,198375.8,203157.3,204812.8,205526.5,204714.7,205472.4,208869.2,212417.4,216227.0,220803.3,221878.8,225390.3,225856.9,229244.4,230755.9,234877.4,237368.7,241529.7,244134.3,249268.1,251061.9,253497.8,255849.5,258704.0,260598.7,265421.7,269257.2,271403.1,276785.5,279724.8,283641.1,288644.4,293544.4,296787.7,299548.4,304085.0,303261.6,304936.1,307598.7,313831.8,319678.8,322128.9,326269.1,327173.2,332874.8,333925.6,332912.7,333124.0,333557.2,337487.5,340391.2,342414.2,344482.2,346380.7,348377.9,354474.1,353997.2,359557.1,363703.2,369754.5,364968.6,369838.4,373244.1,378484.2,384531.7,389511.7,392159.5,394157.2,405080.6,406046.1,406980.8,409038.5,417316.5,430528.2,422572.8,417925.5,410948.4,410890.2,408619.1,410944.1,413113.3,419907.8,426002.0,429794.5
